Date Time,Month,Day,Day of Week,Hour,Minute,SecondsFromStart,heatingReturnTemperature[C],heatingSupplyTemperature[C],massFlowRateHeating,ChilledWaterReturnTemperature[C],ChilledWaterSupplyTemperature[C],massFlowRateCooling
01/01/2006 00:10,1,1,0,0,10,600,0,0,0,0,0,0
01/01/2006 00:20,1,1,0,0,20,1200,0,0,0,0,0,0
01/01/2006 00:30,1,1,0,0,30,1800,0,0,0,0,0,0
01/01/2006 00:40,1,1,0,0,40,2400,0,0,0,0,0,0
01/01/2006 00:50,1,1,0,0,50,3000,0,0,0,0,0,0
01/01/2006 01:00,1,1,0,1,0,3600,0,0,0,0,0,0
01/01/2006 01:10,1,1,0,1,10,4200,0,0,0,0,0,0
01/01/2006 01:20,1,1,0,1,20,4800,0,0,0,0,0,0
01/01/2006 01:30,1,1,0,1,30,5400,0,0,0,0,0,0
01/01/2006 01:40,1,1,0,1,40,6000,0,0,0,0,0,0
01/01/2006 01:50,1,1,0,1,50,6600,0,0,0,0,0,0
01/01/2006 02:00,1,1,0,2,0,7200,0,0,0,0,0,0
01/01/2006 02:10,1,1,0,2,10,7800,0,0,0,0,0,0
01/01/2006 02:20,1,1,0,2,20,8400,0,0,0,0,0,0
01/01/2006 02:30,1,1,0,2,30,9000,0,0,0,0,0,0
01/01/2006 02:40,1,1,0,2,40,9600,0,0,0,0,0,0
01/01/2006 02:50,1,1,0,2,50,10200,0,0,0,0,0,0
01/01/2006 03:00,1,1,0,3,0,10800,0,0,0,0,0,0
01/01/2006 03:10,1,1,0,3,10,11400,0,0,0,0,0,0
01/01/2006 03:20,1,1,0,3,20,12000,0,0,0,0,0,0
01/01/2006 03:30,1,1,0,3,30,12600,0,0,0,0,0,0
01/01/2006 03:40,1,1,0,3,40,13200,0,0,0,0,0,0
01/01/2006 03:50,1,1,0,3,50,13800,0,0,0,0,0,0
01/01/2006 04:00,1,1,0,4,0,14400,0,0,0,0,0,0
01/01/2006 04:10,1,1,0,4,10,15000,0,0,0,0,0,0
01/01/2006 04:20,1,1,0,4,20,15600,0,0,0,0,0,0
01/01/2006 04:30,1,1,0,4,30,16200,0,0,0,0,0,0
01/01/2006 04:40,1,1,0,4,40,16800,0,0,0,0,0,0
01/01/2006 04:50,1,1,0,4,50,17400,0,0,0,0,0,0
01/01/2006 05:00,1,1,0,5,0,18000,0,0,0,0,0,0
01/01/2006 05:10,1,1,0,5,10,18600,0,0,0,0,0,0
01/01/2006 05:20,1,1,0,5,20,19200,0,0,0,0,0,0
01/01/2006 05:30,1,1,0,5,30,19800,0,0,0,0,0,0
01/01/2006 05:40,1,1,0,5,40,20400,0,0,0,0,0,0
01/01/2006 05:50,1,1,0,5,50,21000,0,0,0,0,0,0
01/01/2006 06:00,1,1,0,6,0,21600,0,0,0,0,0,0
01/01/2006 06:10,1,1,0,6,10,22200,0,0,0,0,0,0
01/01/2006 06:20,1,1,0,6,20,22800,0,0,0,0,0,0
01/01/2006 06:30,1,1,0,6,30,23400,0,0,0,0,0,0
01/01/2006 06:40,1,1,0,6,40,24000,0,0,0,0,0,0
01/01/2006 06:50,1,1,0,6,50,24600,0,0,0,0,0,0
01/01/2006 07:00,1,1,0,7,0,25200,0,0,0,0,0,0
01/01/2006 07:10,1,1,0,7,10,25800,0,0,0,0,0,0
01/01/2006 07:20,1,1,0,7,20,26400,0,0,0,0,0,0
01/01/2006 07:30,1,1,0,7,30,27000,0,0,0,0,0,0
01/01/2006 07:40,1,1,0,7,40,27600,0,0,0,0,0,0
01/01/2006 07:50,1,1,0,7,50,28200,0,0,0,0,0,0
01/01/2006 08:00,1,1,0,8,0,28800,0,0,0,0,0,0
01/01/2006 08:10,1,1,0,8,10,29400,0,0,0,0,0,0
01/01/2006 08:20,1,1,0,8,20,30000,0,0,0,0,0,0
01/01/2006 08:30,1,1,0,8,30,30600,0,0,0,0,0,0
01/01/2006 08:40,1,1,0,8,40,31200,0,0,0,0,0,0
01/01/2006 08:50,1,1,0,8,50,31800,0,0,0,0,0,0
01/01/2006 09:00,1,1,0,9,0,32400,0,0,0,0,0,0
01/01/2006 09:10,1,1,0,9,10,33000,0,0,0,0,0,0
01/01/2006 09:20,1,1,0,9,20,33600,0,0,0,0,0,0
01/01/2006 09:30,1,1,0,9,30,34200,0,0,0,0,0,0
01/01/2006 09:40,1,1,0,9,40,34800,0,0,0,0,0,0
01/01/2006 09:50,1,1,0,9,50,35400,0,0,0,0,0,0
01/01/2006 10:00,1,1,0,10,0,36000,0,0,0,0,0,0
01/01/2006 10:10,1,1,0,10,10,36600,0,0,0,0,0,0
01/01/2006 10:20,1,1,0,10,20,37200,0,0,0,0,0,0
01/01/2006 10:30,1,1,0,10,30,37800,0,0,0,0,0,0
01/01/2006 10:40,1,1,0,10,40,38400,0,0,0,0,0,0
01/01/2006 10:50,1,1,0,10,50,39000,0,0,0,0,0,0
01/01/2006 11:00,1,1,0,11,0,39600,0,0,0,0,0,0
01/01/2006 11:10,1,1,0,11,10,40200,0,0,0,0,0,0
01/01/2006 11:20,1,1,0,11,20,40800,0,0,0,0,0,0
01/01/2006 11:30,1,1,0,11,30,41400,0,0,0,0,0,0
01/01/2006 11:40,1,1,0,11,40,42000,0,0,0,0,0,0
01/01/2006 11:50,1,1,0,11,50,42600,0,0,0,0,0,0
01/01/2006 12:00,1,1,0,12,0,43200,0,0,0,0,0,0
01/01/2006 12:10,1,1,0,12,10,43800,0,0,0,0,0,0
01/01/2006 12:20,1,1,0,12,20,44400,0,0,0,0,0,0
01/01/2006 12:30,1,1,0,12,30,45000,0,0,0,0,0,0
01/01/2006 12:40,1,1,0,12,40,45600,0,0,0,0,0,0
01/01/2006 12:50,1,1,0,12,50,46200,0,0,0,0,0,0
